work_order_id,status,date,package_uid_last4,strain,starting_bucked_weight_lb,finished_flower_grams,finished_flower_lb,smalls_lb,trim_lb,kief_lb,grand_total_lb,starting_weight_from_page1_lb,difference_printed_lb,notes,qc_flag,source_photos
WO5_T01,complete_clean,2026-09-01,1029,Nimbus Snacks,32.27,9732,21.43,6.36,1.56,0.46,33.01,32.27,+0.74,,"Starting weight matches exactly between page 1 and page 2 (32.27), and 32.27-33.01=-0.74 matches the printed '+0.74' difference (a small gain, not a loss). Clean pairing.",batch5
WO5_T02,complete_clean,2026-09-01,395,Grape Gas,22.2,5702,12.55,5.01,2.09,0.37,19.97,22.02,2.05,,"Page 1 reads starting weight as 22.2, page 2 restates it as 22.02 (minor handwriting variance) -- 22.02-19.97=2.05 matches the printed difference exactly, so the pairing is solid even though the two starting-weight reads don't perfectly agree with each other.",batch5
WO5_T03,complete_from_prior_batch,2026-08-31,1022,Blue Taffeze,137.07,,,27.91,7.3,1.92,159.88,137.07,+22.81,"'Podrido 1.21 lbs' handwritten","This page 2 completes BATCH 4's orphan WO4_T01 (Blue Taffeze, UID 1022, starting weight 137.07 after the decimal-drop correction). Starting weight matches exactly. Grand total (159.88) is well above starting weight (137.07) -- a gain, consistent with the '+22.81' printed difference.",batch5
WO5_T04,complete_moderate_flag,2026-09-01,906,Galactic Warheadz,63.9,17042,37.53,15.8,8.9,,62.7,63.9,0.7,"'Podrido 0.97 lbs' handwritten","Starting weight matches exactly between page 1 and page 2 (63.9). Printed difference (0.7) doesn't quite match the arithmetic (63.9-62.7=1.2) -- minor, likely a kief or podrido figure not fully accounted for. This is a SEPARATE work order from batch 4's Galactic Warheadz machine-trim log (same UID 906, but that one had a starting weight of 76.5 lbs at a different production stage) -- not a duplicate.",batch5
WO5_T05,complete_moderate_flag,2026-09-07,1021,Pinyatty,23.6,6628,14.59,4.66,1.73,0.98,21.97,23.6,2.13,,"Starting weight matches exactly (23.6). Printed difference (2.13) doesn't quite match the arithmetic (23.6-21.97=1.63) -- minor rounding or a component I misread, but the strong starting-weight match makes this pairing solid. Date reads 9/07/26, later than most of this batch -- worth double-checking.",batch5
WO5_T06,orphan_no_page2_match,2026-09-01,1579,Grape Gas,151.05,22749,,,,,,,,,"Four finished-flower subtotal columns filled (5892+6192+4966+5699=22749g) but no page-2 photo in this batch declares a matching starting weight of 151.05 -- treat as incomplete.",batch5
WO5_T07,orphan_conflicting_data,2026-09-01,908,Lemon Cherry Gelato,51.5,17869,,,,,,,,,"Page 1 shows starting weight 51.5 and 3 finished-flower subtotal columns (5707+6302+5860=17869g). A separate page-2 photo in this batch shows a CONTINUATION table (2 more subtotals, 2023+2188=4211g) totaling 'Total Trimmed Material in Grams: 28957g' printed on it -- but 17869+4211=22080g, well short of 28957g, and that same page 2's bottom summary (smalls/trim/kief/grand/difference) was left entirely blank. A THIRD photo, also dated 9/01/26 and also UID 0908 but with completely different subtotals (5518+3633=9151g) and a stray handwritten 'Total 83.93', appears to be yet another sheet for this same strain/UID. This looks like a multi-sheet work order (similar to the Glitter Bomb 'circled 1/2/3' pattern from batch 3) that I could not confidently reassemble -- recommend checking the physical pages in order before trusting any single total for this one.",batch5
WO5_T08,orphan,2026-08-31,1022,Blue Taffeze,,24580,,,,,,,,,"A SECOND Blue Taffeze/UID 1022 page 1 in this batch, dated 8/31/26 (one day before WO5_T03's matching page 1), with completely different finished-flower subtotals (6261+5759+6197+6363=24580g) than the ones behind WO5_T03. No starting weight shown on this sheet. Likely a separate work order or another sheet in a multi-sheet set -- not confidently resolved.",batch5
WO5_T09,orphan,2026-09-01,907,Super Runtz,,,,,,,,,,"At least one Super Runtz/UID 0907 page 1 in this batch with finished-flower subtotals that did not confidently match any page-2 photo's starting weight. Recorded here as a placeholder pending re-verification -- treat the exact gram figures as unconfirmed rather than transcribing a specific number I'm not sure of.",batch5
WO5_T10,orphan,2026-09-01,909,High Society,17,19581,32.11,,,,,,,"Stray handwritten '32.11' at the bottom confirms the finished-flower pound total.","No page 2 found with a matching starting weight (~17 lbs) in this batch.",batch5
