Date,Meeting / Source,Action Item,Description,Responsible,Requested By,Status,Priority,Results
2026-09-01,September Work Plan & Labor Controls,Keep September deal structure the same,"Continue current hourly-tracking arrangement (~3 days/week onsite, ~$12,000/month) at least through September rather than changing terms.",Robert,Robert / Ned,In Progress,Medium,
2026-09-01,September Work Plan & Labor Controls,Get Sheree to read Canix comparison email,Convince Sheree to review the details Robert sent comparing Canix vs. building an in-house digitized system before committing further to Canix.,Robert,Ned,Complete,Low,
2026-09-01,September Work Plan & Labor Controls,Digitize paper forms into a system of record,"Build a system (replacing paper forms) so each employee just enters data where they already do, giving visibility into labor, production, and cost per department without a big learning curve.",Robert,Ned,In Progress,High,
2026-09-01,September Work Plan & Labor Controls,Get Juan's contact info to connect systems,Obtain Juan's phone number to loop him into building/connecting the tracking systems.,Ned,Ned,Complete,High,Got Phone number
2026-09-01,September Work Plan & Labor Controls,Set up ConnectTeam access for hourly labor tracking,Get access to ConnectTeam (via Sheree) so hourly employee clock-in/out and productivity can be tracked and used to build daily labor cost controls.,Robert,Robert,Complete,High,Got Access
2026-09-01,September Work Plan & Labor Controls,Build trimmer/bucker performance sorting & QC flag system,"Rank trimmers/buckers by pounds and quality (repeated returns flagged after 3x), cut bottom 10-15% weekly, and use data to reward top performers.",Robert,Ned,Not Started,Low,
2026-09-01,September Work Plan & Labor Controls,Design daily gamification/bonus program,"Create a scoreboard with daily rewards (e.g., $50 Amazon card) for top bucking/trimming performance to boost output and quality.",Robert / Ned,Ned,Not Started,Low,
2026-09-01,September Work Plan & Labor Controls,Investigate in-house pre-roll tube capping machine,Evaluate buying a machine to put on pre-roll tubes in-house to cut cost from ~30 cents to ~10 cents per unit.,Robert,Ned,In Progress,High,
2026-09-01,September Work Plan & Labor Controls,Define Autumn's compliance/revenue (CRO) role,"Formalize Autumn taking on compliance oversight plus driving revenue/contracts, contingent on delivering both.",Ned,Ned,Complete,,Autumn leaving
2026-09-01,September Work Plan & Labor Controls,Send finalized pricing sheet once contract/number received,Send the finalized Summer Rosa Farms pricing sheet to Ned once Sheree provides the phone number and a copy of the contract for cross-checking.,Robert,Ned,Complete,High,Sheet Created
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Assign one accountable owner per processing department,"Designate a single employee accountable for intake/drying, bucking, machine trimming, hand finishing, pre-roll, packing, and vape/concentrates.",Robert / Ned,Ned,Not Started,High,
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Build inventory/database system for packaging & hardware (Airway),"Create a way to track and deduct packaging/hardware inventory (boxes, cartridges, expendables) at Airway since no existing tool handles it.",Robert,Ned,Not Started,High,
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Create asset list & preventative maintenance/cleaning schedule,Build a sign-off maintenance schedule for all heavy equipment/vehicles after a box truck engine blew from lack of oil; share for edits.,Robert,Ned,Not Started,Medium,
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Create equipment startup checklist,Implement a pre-use startup checklist for machines/vehicles to prevent damage from lack of maintenance.,Robert / Ned,Ned,Not Started,Medium,
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Service and get Mobius machines fully operational,Continue repairs (parts ordered) to get idle Mobius sorting machines back online and on a regular maintenance cadence.,Ned's team (Emerald Sun),Ned,Not Started,Medium,
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Attend/support DCC destruction event and prep synopsis for attorney,Prepare documentation/synopsis of the kratom/pre-roll metric discrepancy for the attorney ahead of the DCC visit; take photos and submit for destruction.,Ned / Attorney,Ned,Complete,High,DCC Visit Completed
2026-09-01,Operational Crisis / Inventory & DCC Compliance,Decline Ned's Artemis sublease-to-others plan; consolidate at own space,Tell Ned no on subleasing outside space to others; redirect any such investment/rent to Giffen or R Space property instead.,Ned,Ned (self-directed),Complete,Medium,Not sub-leasing or getting more space
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Install automated night-air-cooling / humidity-temperature control,"Add a smart system that uses night air cooling automatically based on inside/outside temp and humidity, with fallback controls to avoid fluctuation.",Facility/Ops team,Ned,Not Started,Medium,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Replace ammonia lines with glycol,"Empty ammonia from the cooling system and replace with glycol (non-hazardous, cheaper, easier to run).",Facility/Ops team,Ned,Not Started,Low,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Evaluate build-out of additional drying room if at capacity,Assess whether to build out the other/larger room for drying capacity once current rooms are full; move scissor lifts if needed between rounds.,Facility/Ops team,Ned,In Progress,Medium,
2026-09-02,"Environmental Controls, Facility Ops, Solar Financing",Replace Green Bros sorter belts,Order and install new rubber belts for the Green Bros sorter.,Facility/Ops team,Ned,Not Started,Low,
